name	MParameter	unit	index	min.	max.	place
									
source term								Q		m3		1	-1.00E+00	1.00E+00	element
parabolic function						F		m		1	-1.00E+00	1.00E+00	node
grad parabolic function					DF		m		2	-1.00E+00	1.00E+00	element
magnitude grad parabolic function		mDF		m		1	-1.00E+00	1.00E+00	element
one										DL		X		1	-1.00E+00	1.00E+00	element
capillary pressure						PC		Pa		1	0.00E+00	1.00E+10	node
pore radius								PR		m		1	0.00E+00	1.00E+01	node
fluid volume source						QV		m3		1	-1.00E+01	1.00E+01	element
nodal fluid volume source				NQV		m3		1	-1.00E+01	1.00E+01	node
saturation oil source					QS		m3		1	-1.00E+01	1.00E+01	element
fluid pressure							PF		Pa		1	0.00E+00	1.00E+10	node
permeability							K		m2		1	1.00E-25	1.00E+02	element
porosity								PHI		X		1	1.00E-05	1.00E+01	element
inner radius							IR		m		1	1.00E-30	1.00E+04	element
velocity								V		m s-1	2	-1.00E+09	1.00E+09	element
pore velocity							VP		m s-1	2	-1.00E+09	1.00E+09	element
volume flux								F		m s-1	1	0.			1.00E+09	element
brooks corey parameter					BC		X		1	1.00E+00	4.00E+00	element
entry pressure							PE		Pa		1	0.00E+00	1.00E+10	element
residual saturation wetting phase		SWR		X		1	0.00E+00	2.50E-01	element
residual saturation non-wetting phase	SNR		X		1	0.00E+00	2.50E-01	element
nodal residual saturation wetting phase		NSWR	X	1	0.00E+00	2.50E-01	node
nodal residual saturation non-wetting phase	NSNR	X	1	0.00E+00	2.50E-01	node
viscosity oil							MUO		Pa s-1	1	1.00E-04	1.00E-02	node
viscosity water							MUW		Pa s-1	1	1.00E-04	1.00E-03	node
saturation oil							SO		X		1	0.00E+00	1.00E+00	node
saturation water						SW		X		1	0.00E+00	1.00E+00	node
relative permeability oil				KRO		X		1	0.00E-00	1.00E+00	element
relative permeability water				KRW		X		1	0.00E-00	1.00E+00	element
total mobility							LT		m2		1	1.00E-23	1.00E+00	element
node property gradient					NG		m-1		2	-1.00E+10	1.00E+10	node
node property gradient limiter			NGL		X		1	0.00E+00	1.00E+00	node
